ID,Title,Call_Number
80,a study of values and achievement at brigham young university,BF1-37:Psychology
81,altering multiple schedule response patterns with septal stimulation,BF1-37:Psychology
82,a study of the relationships between anxiety in nursery school children and the anxiety and pari scores of their parents,BF1-37:Psychology
83,the effects of tasknonfocal contextual cue changes on the recall and relearning of nonsense syllables,BF1-37:Psychology
84,a study of wearing glasses and the perception of personality traits from photographs and live situations,BF1-37:Psychology
85,employment and happiness among mormon and nonmormon mothers in utah,BF1-37:Psychology
86,ventricular dilation cortical atrophy and neuropsychological outcome following traumatic brain injury,BF1-37:Psychology
87,differences in taskdependent human evoked brain potentials using multivariate graphical analysis,BF1-37:Psychology
88,seismic adjustments the influence of inconvenience and efficacy perceptions state of residence and demographic factors,BF1-37:Psychology
89,vicious intellectualism in psychology,BF1-37:Psychology
90,incremental dosage parameters of atropine on photic afterdischarge and cortical excitation,BF1-37:Psychology
91,mismatch negativity in the mcgurk effect,BF1-37:Psychology
92,the internalexternal control construct and alienation in terms of their effect upon expectancy,BF1-37:Psychology
93,cathartic tensionreduction from passive or noninstrumental behavior,BF1-37:Psychology
94,antecedents to behavior at the hour of sleep a study on a child psychiatric ward,BF1-37:Psychology
95,sex differences in job attribute preferences,BF1-37:Psychology
96,attitudes toward old age in multigenerational settings,BF1-37:Psychology
97,individualism and collectivism in utah,BF1-37:Psychology
98,human performance on modified fixedinterval schedules,BF1-37:Psychology
99,qualitatively different reinforcers in human choice money vs access to video,BF1-37:Psychology
100,conditioned suppression and selfstimulation behavior,BF1-37:Psychology
101,the effect of stress on the need for achievement of secure and insecure persons,BF1-37:Psychology
102,the effect of stress on the need for achievement of secure and insecure persons,BF1-37:Psychology
103,occupational genderrole stereotypes of engineers flexible or rigid,BF1-37:Psychology
104,defining and measuring social support systems,BF1-37:Psychology
105,consistent and oppositional reasoning toward a unified theory of social hypothesis testing,BF1-37:Psychology
106,suppressed primacy effects on a verbal memory test is associated with reduced effort in patients with a history of brain injury,BF1-37:Psychology
107,the effects of a peer tutoring program on the academic performance of adolescents with attention deficit hyperactivity disorder and on other students with academic difficulties,BF1-37:Psychology
108,the effects of threat upon exploitative behavior in a twoperson group,BF1-37:Psychology
109,creating an expected profile for affinity 25 from a sample of nonpedophilic exclusively heterosexual college age males,BF1-37:Psychology
110,sexdependent effects on the electroretinogram erg of the rat,BF1-37:Psychology
111,development of a measure to assess trust level in groups,BF1-37:Psychology
112,the perceptivenesspopularity hypothesis in context,BF1-37:Psychology
113,parenting selfefficacy as a predictor of child psychotherapy outcomes,BF1-37:Psychology
114,psychological reactance differences externalizing and internalizing adolescents compared to adolescents showing few or no problem behaviors,BF1-37:Psychology
115,a comparison of the effects of training methods on changing levels of moral reasoning,BF1-37:Psychology
116,the relationship between two instruments designed to predict entrepreneur,BF1-37:Psychology
117,determining a minimum number of observations in factor analytic studies measurement error effects in obtaining factor pattern stability and structural validity,BF1-37:Psychology
118,the relationship between age and demand situation in resistance to temptation,BF1-37:Psychology
119,media effects on overweight and normal weight womens blood pressure and affect,BF1-37:Psychology
120,the correlates of selfconcept and aggressive behavior among elementary school children from two socioeconomic areas and two grade levels,BF1-37:Psychology
121,group differences in content components of adult moral reasoning,BF1-37:Psychology
122,privacy preferences and social interaction an examination of sexual harassment as a violation of privacy rights,BF1-37:Psychology
123,understanding why individuals maintain ambivalent friendships,BF1-37:Psychology
124,the relationship between belonging hostility and exposure to stress,BF1-37:Psychology
125,a study on the inhibition of lordotic behavior in the male rat effects of testosterone progesterone and dihydrotestosterone,BF1-37:Psychology
126,some implications of obesity in university students with emphasis on the relationship between obesity and social conformity,BF1-37:Psychology
127,a screening instrument for emotionally handicapped children validation of a classroom observation code,BF1-37:Psychology
128,ultimate concerns in business a call for clarity and consonance between organizational theory and mission statements,BF1-37:Psychology
129,the relationship between authoritarianism and religious orthodoxy at different age levels,BF1-37:Psychology
130,the effect of reinforcement duration n preference for qualitatively different reinforcers in pigeons,BF1-37:Psychology
131,an attempt to classically condition ovulation in the pigeon columba livia gmelin,BF1-37:Psychology
132,the role of verbal persuasion in developing collectiveefficacy in a small group task,BF1-37:Psychology
133,dyadic trust in a modified prisoners dilemma game as a function of external reinforcement,BF1-37:Psychology
134,probability learning behavior in the human infant,BF1-37:Psychology
135,cognitive and affective outcomes in patients with the least severe carbon monoxide poisoning,BF1-37:Psychology
136,facilitating development of moral reasoning in regards to reasons for doing good and delay of gratififcation,BF1-37:Psychology
137,internal versus external control as determinants of achievement following and trend following,BF1-37:Psychology
138,belief and attitude changes of students attending a course on near death experiences,BF1-37:Psychology
139,pigeons acquisition of spatial response patterns through observation,BF1-37:Psychology
140,an analysis of f scale responses obtained at brigham young university and the university of utah,BF1-37:Psychology
141,category width as a function of generality specificity and similaritydifference sensitivity,BF1-37:Psychology
142,a selfconcept measure for elementary school children,BF1-37:Psychology
143,age gender and religious differences in moral perspective,BF1-37:Psychology
144,a phenomenological investigation of the experience of not belonging,BF1-37:Psychology
145,changing attractiveness and active participation as influences in choosing an unpleasant task for which an expectancy has been created,BF1-37:Psychology
146,the relationship of selected environmental and familial variables on the reading habits and interests of students in grades one through twelve,BF1-37:Psychology
147,the effects of induced mood states on academic evaluations,BF1-37:Psychology
148,the relationship of unilateral dominance to the preception of autokinetic movement and to galvanic skin response reactivity,BF1-37:Psychology
149,perceptual cues as factors related to accuracy of metaperception,BF1-37:Psychology
150,a psychometric analysis of the background and home environment section of the prepm,BF1-37:Psychology
151,the relationship of motivational determinants to academic success,BF1-37:Psychology
152,the relationship of motivational determinants to academic success,BF1-37:Psychology
153,the reciprocal inhibition of test anxiety by use of a conditioned anxietyrelief response,BF1-37:Psychology
154,the relationship between two measures of achievement motivation and certain personality variables,BF1-37:Psychology
155,the relationship between two measures of achievement motivation and certain personality variables,BF1-37:Psychology
156,the effects of focusing on reading comprehension in learning disabled children,BF1-37:Psychology
157,the links between jealousy attachment and accountgiving in adult romantic relationships,BF1-37:Psychology
158,predicting sexual permissiveness among male and female adolescents,BF1-37:Psychology
159,some factors effecting response to perceived leadership in small short term groups,BF1-37:Psychology
160,a study of ethnic stereotypes using the matchedguise technique,BF1-37:Psychology
161,perceptions and attitudes of initial health care givers pertaining to rape victims,BF1-37:Psychology
162,janusian thinking in social creativity,BF1-37:Psychology
163,a history of moral philosophy in psychology,BF1-37:Psychology
164,the relationship between ego strength and susceptibility to persuasion,BF1-37:Psychology
165,the relationship between ego strength and susceptibility to persuasion,BF1-37:Psychology
166,the strength of effects in psychological studies,BF1-37:Psychology
167,the wilderness survival experience an agentive perspective,BF1-37:Psychology
168,moral concerns about marketings use of cialdinis weapons of influence,BF1-37:Psychology
169,the role of contextual stimuli in fear conditioning,BF1-37:Psychology
170,paralinguistic measures as an index of personality,BF1-37:Psychology
171,external cues of internality as aids to maximizaton an adaptation of herrnstein et als 1993 study,BF1-37:Psychology
172,transactional analysis a guide for use in the elementary classroom,BF1-37:Psychology
173,the value of certain variables in predicting distinguished graduates and appointment of cadet commissioned ranks in the afrotc at brigham young university,BF1-37:Psychology
174,the bruce effect age of the female as a factor,BF1-37:Psychology
175,the youth outcome questionnaire301 yoq301 a study of reliability and discriminant groups validity,BF1-37:Psychology
176,evaluating the positive parenting workshops,BF1-37:Psychology
177,some relationships between conformity and intrapersonal constructs,BF1-37:Psychology
178,melioration matching and maximization revisited an elaboration and reconsideration of vaughans 1981 study,BF1-37:Psychology
179,personal space development and correlates of selfesteem,BF1-37:Psychology
180,factors affecting religious activity in a college population,BF1-37:Psychology
181,screening efficiency comparison between the luscher color test and personality inventory for children,BF1-37:Psychology
182,dogmatism and the assumption of homogeneity,BF1-37:Psychology
183,the effect of first grade teachers on the later achievement of students reconsidered,BF1-37:Psychology
184,manifest anxiety as related to dogmatism and the perception of persons at brigham young university,BF1-37:Psychology
185,a study of the relationship between physical activity and selfesteem in the elderly,BF1-37:Psychology
186,metanorms for two forms of neuropsychological test batteries for children,BF1-37:Psychology
187,the interference of memory using electroconvulsive shock,BF1-37:Psychology
188,a study of the relationship between perceived parentself likeness with regard to moral and socially desirable behavior,BF1-37:Psychology
189,the function of the optic disc in spatial perception,BF1-37:Psychology
190,the function of the optic disc in spatial perception,BF1-37:Psychology
191,comparison of perceive maternal and paternal influence and support on a choice of major by daughters and sons,BF1-37:Psychology
192,a comparison of the snyder and lennoxwolfe selfmonitoring scales,BF1-37:Psychology
193,the consequences of confidence further evidence of a behavioral confirmation model of sexual harassment,BF1-37:Psychology
194,making semantic associations from iconic memory,BF1-37:Psychology
195,making semantic associations from iconic memory,BF1-37:Psychology
196,preference in the estrous female rat between control and prenatally stressed male rat partners,BF1-37:Psychology
197,sex differences in synonym fluency and picture naming,BF1-37:Psychology
198,the relationship of corpus callosum and cingulate gyrus surface areas with intelligence scores in persons with early hydrocephalus,BF1-37:Psychology
199,clinical validation of the symptom of illness checklist sic,BF1-37:Psychology
200,a comparative analysis of human suffering exploring the implications of a relational alternative,BF1-37:Psychology
201,age and sex differences in the relative importance and intensity of values,BF1-37:Psychology
202,reinforcement of projected patterns and perception of control of reinforcements,BF1-37:Psychology
203,text anxiety instructions and performance,BF1-37:Psychology
204,anxiety and performance,BF1-37:Psychology
205,persuasibility as a function of sex and level of education,BF1-37:Psychology
206,effects of trial and error overlearning and errorless learning acquisition on reversal in two procedural paradigms,BF1-37:Psychology
207,leadership style change as a function of time pressure,BF1-37:Psychology
208,the effects of lessened anxiety on the intelligence test scores of older adult subjects,BF1-37:Psychology
209,changes in openfield behavior of rats following spinal nerve root sectioning,BF1-37:Psychology
210,compoundcoordinate differences in a bilingual switching task,BF1-37:Psychology
211,interpretations of pausing behavior the influence of interpersonal perceptiveness,BF1-37:Psychology
212,the relationship between behavior problems and the spiral aftereffects test,BF1-37:Psychology
213,preference for different levels of stimulus complexity across various age groups,BF1-37:Psychology
214,dimensions of therapist response relationship to perceptions of therapist characteristics and therapeutic atmosphere,BF1-37:Psychology
215,training and its effect on the moral judgments of prekindergarten children,BF1-37:Psychology
216,hypnosis and memory the comparable effects of various suggestions procedures and susceptibility variables,BF1-37:Psychology
217,training and its effect on the moral judgments of four and fiveyearold children,BF1-37:Psychology
218,correlation of mothers behavior ratings of children a six year followup study,BF1-37:Psychology
219,paul ricœurs hermeneutics of the self in oneself as another an alternative ontology for psychology,BF1-37:Psychology
220,the revised causal dimension scale cdsii as a measure of treatment effect on domestic violence groups,BF1-37:Psychology
221,predictors of experimental obedience the role of situational factors in behavioral predictions,BF1-37:Psychology
222,the effect of anxiety on verbal abstract ability,BF1-37:Psychology
223,generating useful preinventive structures a study in creativity and comprehensive categorization,BF1-37:Psychology
224,the effects of contextualcue changes on the acquisition and retention of nonsense syllables among children,BF1-37:Psychology
225,choice factors in the production and reduction of cognitive dissonance,BF1-37:Psychology
226,personality information contained in the vocal qualities and content aspects of speech,BF1-37:Psychology
227,the determination of points of view in perception of facial emotions,BF1-37:Psychology
228,visual acuity in the guinea pig,BF1-37:Psychology
229,measurement of sex differences in the adult human corpus callosum,BF1-37:Psychology
230,antecedents of female high school sports participation,BF1-37:Psychology
231,facilitative and inhibitory effect of a secondorder cs on avoidance behavior,BF1-37:Psychology
232,the effects of naming and instructions to subjects on memory for visual shapes,BF1-37:Psychology
233,the effectiveness of excuses justifications and apologies employed in legal defense for homicide,BF1-37:Psychology
234,occupational images of the world of work in navajo high school students,BF1-37:Psychology
235,a covert modeling technique for reducing noncompliance in a classroom setting,BF1-37:Psychology
236,self teachers and mothers perceptions of the behaviorally disordered child,BF1-37:Psychology
237,perception of leadership style and job satisfaction,BF1-37:Psychology
238,gender differences in cardiovascular reactivity to competition as a psychological stressor impact of competition outcome and gender of competitor,BF1-37:Psychology
239,helping behavior in perceived emergency situations a temporal aspect,BF1-37:Psychology
240,the effects of contingent or noncontingent external reinforcement on the scratching behavior of intrinsically motivated chicks,BF1-37:Psychology
241,the relationship of conformity behavior to ego strength and introversionextraversion,BF1-37:Psychology
242,a comparison of the performance of normal and remedial readers on the wechsler intelligence scale for children,BF1-37:Psychology
243,differences between money choices for oneself and for others,BF1-37:Psychology
244,the food and eating disdain scale a new measure of beliefs supporting food restriction in anorexia nervosa,BF1-37:Psychology
245,the effects of power across gender,BF1-37:Psychology
246,the effect of group context on religious attitude,BF1-37:Psychology
247,a critique of psychologys use and interpretation of numbers,BF1-37:Psychology
248,tracking change in people with a persistent mental illness developing change metrics for the bprs,BF1-37:Psychology
249,gerald williams negotiation as a healing process overcoming the threat of psychological egoism,BF1-37:Psychology
250,an experimental study of the relationship of the apparent movement in the autokinetic phenomenon to a removeable frame of reference,BF1-37:Psychology
251,some correlates of mode of conflict resolution in impression formation,BF1-37:Psychology
252,the relationship between stress impact symptoms of illness depression anxiety age gender and body weight in a normal nonclinical population,BF1-37:Psychology
253,personality correlates of matching and maximizing in humans,BF1-37:Psychology
254,sexrole preference among young children,BF1-37:Psychology
255,parental value agreement and their childrens rigidity,BF1-37:Psychology
256,acquisition of a secondorder classical conditioned response as revealed by magnitude of startle and suppression of a running response in an alleyway,BF1-37:Psychology
257,pupillary response to differences of attractiveness and pupil size in female picture stimuli,BF1-37:Psychology
258,quantitative volumetric magnetic resonance image analysis of the thalamus in autism with macrocephaly,BF1-37:Psychology
259,constellatoriness versus constellation structure of personal constructs as factors in reconstruction following predictive failure,BF1-37:Psychology
260,visual information processing a systematic study of the effect of irrelevant targets on relevant targets,BF1-37:Psychology
261,the relationship of religious commitment to selfesteem,BF1-37:Psychology
262,oneyearolds comprehension and memory for affectobject relationships,BF1-37:Psychology
263,application of the personal constructs theory to an incomplete sentence blank test,BF1-37:Psychology
264,learning by observing,BF1-37:Psychology
265,human performance on a threeaxis tracking problem using two distinct hand controller configurations,BF1-37:Psychology
266,the effects of heuristic training upon problem solving,BF1-37:Psychology
267,the relationship of selfconcept ideal selfconcept discrepancy to age and sex,BF1-37:Psychology
268,assessing the predictive validity of the youthoutcome questionnaireprognostic assessment in court referred juvenile delinquents,BF1-37:Psychology
269,employing written request influence strategies to increase compliance,BF1-37:Psychology
270,do mens proclivities to sexually harass affect how they attribute blame for sexually harassing behavior,BF1-37:Psychology
271,ethnic awareness the effect of the degree of contact on the accuracy of stereotypes,BF1-37:Psychology
272,gender religiosity and basic values,BF1-37:Psychology
273,development of the kingsleyprojective eye test a new projective technique,BF1-37:Psychology
274,the effects of frontal lesions on brain electrocortical responses and behavioral activity,BF1-37:Psychology
275,a study of exploratory behavior and its relationship to intelligence in preschool children,BF1-37:Psychology
276,retention in intentional and incidental learning as a function of set and warmup,BF1-37:Psychology
277,personality and marijuana use among college students at appalachian state university,BF1-37:Psychology
278,the relationship between physical symptoms of pregnancy and certain personality variables,BF1-37:Psychology
279,religious orientation and attitude component consistency,BF1-37:Psychology
280,effects of environmental stress during pregnancy on maternal and fetal plasma progesterone in the rat,BF1-37:Psychology
281,training and its effect on the moral judgments of kindergarten children,BF1-37:Psychology
282,correlates of absence math achievement and citizenship grades,BF1-37:Psychology
283,the effect of stimulus method on flicker phenomenon,BF1-37:Psychology
284,the effect of stimulus method on flicker phenomenon,BF1-37:Psychology
285,the development and validation of the i2s scale a measure of a males belief of his sexual attractiveness to females,BF1-37:Psychology
286,selfreported problems related to academic performance as a function of academic status class and sex group,BF1-37:Psychology
287,the effects of methylphenidate on attentiveness in attention deficit disorder,BF1-37:Psychology
288,key relationship in analogical reasoning,BF1-37:Psychology
289,an fmri study of face processing in autism,BF1-37:Psychology
290,prenatal stress effects on fetal growth placental development and transport of 2deoxyd1h glucose in the gravid rat,BF1-37:Psychology
291,patient preferences for physician behavior a questionnaire study,BF1-37:Psychology
292,the dimensions of interpersonal perception a multidimensional scaling approach,BF1-37:Psychology
293,patient selection for group psychotherapy in germany a validation study of the group selection questionnaire,BF1-37:Psychology
294,facilitating child bedtime behaviors an examination of reinforcement and behavioral momentum,BF1-37:Psychology
295,intracranial stimulation and sugar water as reinforcers in a conditional emotional response paradigm,BF1-37:Psychology
296,a multivariate analysis of ventricular dilation and visuomotor performance,BF1-37:Psychology
297,psychosocial outcomes and schoolrelated protective factors in urban youth exposed to community violence,BF1-37:Psychology
298,differential response to treatment as a function of diagnostic classification,BF1-37:Psychology
299,pre and postnatal testosterone and flutamide effects on sexually dimorphic nuclei of the rat hypothalamus,BF1-37:Psychology
300,cocaine inhibits electrical coupling between midbrain gaba neurons via an anesthetic action,BF1-37:Psychology
301,differences in n achievement scores received by peptic ulcer and ulcerative colitis patients,BF1-37:Psychology
302,white matter hyperintensities following traumatic brain injury and their relationship to neuropsychological outcome,BF1-37:Psychology
303,gratitude in prayer after positive and negative life events,BF1-37:Psychology
304,attributions of athletes on collegiate sports teams and their relationships to rated athletic performance,BF1-37:Psychology
305,effects of communication networks and task type on small group performance,BF1-37:Psychology
306,a conscious report instrument for measuring achievement motivation,BF1-37:Psychology
307,social learning theory in the schools the vicarious effects of punishment including corporal punishment on classroom misbehavior,BF1-37:Psychology
308,self portrait drawings as a clinical tool in the detection of child sexual abuse victims,BF1-37:Psychology
309,personal adjustment and choice of major and college department,BF1-37:Psychology
310,attachment dimensions influence on individual oxytocin and ambulatory blood pressure,BF1-37:Psychology
311,the effects of a cholinesterase inhibitor eserine on the threetabletest for reasoning in white mice,BF1-37:Psychology
312,the effect of schema complexity and stimulus neutrality on attitude extremity and change,BF1-37:Psychology
313,the relationship of religious commitment to guilt,BF1-37:Psychology
314,prepubertal testosterone treatment of neonatally gonadectomized female rats effects on sexual behavior and brain morphology,BF1-37:Psychology
315,measuring prejudiced attitudes toward mexicans in latterday saint missionaries during missionary service in the american southwest,BF1-37:Psychology
316,verbal elaboration of emotion in the psychopathic personality,BF1-37:Psychology
317,effects of stories and discussion on prosocial behavior and selfconcept of young children,BF1-37:Psychology
318,the effects of information and emotional support on reducing the fear of needles in schoolaged children,BF1-37:Psychology
319,a study of attitude patterns of parents of deliquent children,BF1-37:Psychology
320,a study of attitude patterns of parents of deliquent children,BF1-37:Psychology
321,maternal employment the impact on family and moral values,BF1-37:Psychology
322,differences in attribution of responsibility and assignment of sanctions between college students and prison inmates,BF1-37:Psychology
323,differences in attribution of responsibility and assignment of sanctions between college students and prison inmates,BF1-37:Psychology
324,forewarning of loss and the effect that it has on the resolution of grief in the elderly bereaved,BF1-37:Psychology
325,a measure of a females belief in her sexual attractiveness to males and how this belief contributes to her flirtatious behavior,BF1-37:Psychology
326,affect as a function of confirmation or disconfirmation of expectancy in a social interaction experience,BF1-37:Psychology
327,a test of the relationship between eros and creativity,BF1-37:Psychology
328,using indigenization and other indigenous psychology tools to draw parallels between mormonism and hawaiian culture,BF1-37:Psychology
329,comparison of two groups of lower functioning inmates recidivism rates as a result of programming,BF1-37:Psychology
330,achievement motive and its relationship to entrepreneurship occupational preference and economic development,BF1-37:Psychology
331,effect of increased tyrosine on behavior of retarded phenylketonuric adults,BF1-37:Psychology
332,othercenteredness and depression in a sample of mormon women,BF1-37:Psychology
333,the effects of offline classical conditioning on latentcy and running times in rats running for differential incentives,BF1-37:Psychology
334,locus of control and marital satisfaction among interracial couples,BF1-37:Psychology
335,the effect of participation in three types of groups on various aspects of the self concept,BF1-37:Psychology
336,increase and decrease in light and noise stimuli as reinforcers for the albino rat,BF1-37:Psychology
337,the effects of pre and posttrial injections of pentylenetetrazol on habituation,BF1-37:Psychology
338,journal impact and evaluation via the introductory psychology text implications and prestige from the reference section,BF1-37:Psychology
339,an objective investigation of the relationship between visual imagery and other variables,BF1-37:Psychology
340,accuracy of interpersonal perception as related to anxiety and stress,BF1-37:Psychology
341,the relationship of creative tendency as measured by barrons independence of judgement scale to manifest dream content,BF1-37:Psychology
342,suffering and responsibility towards a levinasian alternative for psychology,BF1-37:Psychology
343,probe stimuli evoked responses before and during a cognitive task,BF1-37:Psychology
344,the relationship between repressionsensitization and cognitive complexity,BF1-37:Psychology
345,white matter hyperintensities and neuropsychological outcome following carbon monoxide poisoning,BF1-37:Psychology
346,consumer grudgeholding its application to the frustrationaggression hypothesis,BF1-37:Psychology
347,the relationship between self development and problem solving,BF1-37:Psychology
348,anxiety and conformity as factors in mental health attitude change,BF1-37:Psychology
349,potential antecedents in a behavioral confirmation model of sexual harassment situational primes individual differences and confirmation bias,BF1-37:Psychology
350,the effect of preshock on painelicited aggression,BF1-37:Psychology
351,predicting scholastic success in music at brigham young university,BF1-37:Psychology
352,the relationship between ego strength and the discrepancy between conscious and unconscious selfschema,BF1-37:Psychology
353,the relationship between ego strength and the discrepancy between conscious and unconscious selfschema,BF1-37:Psychology
354,an attitudinal comparison of male and female entrepreneurs and nonentrepreneurs in singagore and america,BF1-37:Psychology
355,a study of contextual agency in the writings of the founding fathers of psychology an analysis of william james sigmund freud and wilhelm wundt,BF1-37:Psychology
356,the reliability and validity of the youth outcome questionnaire prognostic assessment 20,BF1-37:Psychology
357,screening for potential learning disabilities in kindergarten children using a specific traits and general behaviors checklist,BF1-37:Psychology
358,a method for investigating visual figure memory,BF1-37:Psychology
359,quantitative and qualitative analysis of facial memory in autism,BF1-37:Psychology
360,comparison of hippocampal ratings with volumetric measurements in patients with traumatic brain injury,BF1-37:Psychology
361,the ability of children with specific language impairment to maintain a topic introduced by another speaker,BF1-37:Psychology
362,the effect of testosterone on the electrophysiology of the medial preoptic area,BF1-37:Psychology
363,the effects of group desensitization of a snake phobia under hypnotic and relaxation conditions,BF1-37:Psychology
364,the role of attribution in the perception of sexual harassment,BF1-37:Psychology
365,the relationship between creativity and roletaking ability use of analogy and three types of conformity behavior,BF1-37:Psychology
366,a factorial determination of points of view in the evaluation of poetry and their relation to various determinants,BF1-37:Psychology
367,human sexuality finding grounds for meaning morality and intimacy,BF1-37:Psychology
368,the effect of thiamine deficiency on intracranial selfstimulation,BF1-37:Psychology
369,modification of attitudes through film and the effect of an interpolated film,BF1-37:Psychology
370,commonality of attitudes as a measure of identification,BF1-37:Psychology
371,commonality of attitudes as a measure of identification,BF1-37:Psychology
372,modern educational secularism and the return of free thought,BF1-37:Psychology
373,zimbabwean and american emotions a social constructivist exploration,BF1-37:Psychology
374,development of a selftheory and measurement scale,BF1-37:Psychology
375,contact aggression and the serotonin transporter gene rh5httlpr in rhesus macaques genotypebysexbyage interactions,BF1-37:Psychology
376,a three generational approach for studying the effects of spanking on children,BF1-37:Psychology
377,the relationship between toefl and gpa a study of foreign undergraduate students in language and nonlanguage oriented majors at brigham young university,BF1-37:Psychology
378,a study of the differential ability of normal and neurologically handicapped groups in the perception of visual designs,BF1-37:Psychology
379,the effects of experimentally induced stress on the tendency to make polar judgements,BF1-37:Psychology
380,improvisational comedy as a training tool for selfimprovement an exploratory look,BF1-37:Psychology
381,attempted modification of self and idealself concepts under differential conditions of susceptibility,BF1-37:Psychology
382,a comparison of methods to effect a change in childrens concepts about punishment,BF1-37:Psychology
383,selfefficacy as a predictor of therapeutic change for youth in community outpatient treatment,BF1-37:Psychology
384,the effects of neonatal manipulation of testosterone on visual cortical and retinal thickness in male and female rats,BF1-37:Psychology
385,predicting career motivation in prospective army officers,BF1-37:Psychology
386,the dual effects of preshock treatment learned helplessness and conditioned emotionality,BF1-37:Psychology
387,caring and goodness an analysis of gender and managerial level,BF1-37:Psychology
388,the effect of observed film violence on the aggressive responses of adolescents,BF1-37:Psychology
389,the effects of chronological age mental age iq sex and place of residence on the type value and quantity of the personal possessions of mentally retarded persons,BF1-37:Psychology
390,parental attitudes as predictors of childrens moral judgements,BF1-37:Psychology
