,Call_Number,Title
136,BF712-724:Developmental psychology,the piaget primer thinking learning teaching piaget jean 18961980 cognition in children educational psychology
137,BF199-202:Psychology,the discursive mind discursive psychology
138,BF38-64:Philosophy,the life and behavior of living organisms a general theory psychology philosophy judgment goal psychology decision making psychology comparative
139,BF309-499:Consciousness. Congition,the limits of attention temporal constraints in human information processing attention human information processing
140,BF38-64:Philosophy,the minds arrows bayes nets and graphical causal models in psychology psychology methodology prediction theory causation
141,BF712-724:Developmental psychology,adolescent encounters with death bereavement and coping teenagers and death grief in adolescence bereavement in adolescence teenagers counseling of
142,BF1404-1443:Occult sciences,the new age of russia occult and esoteric dimensions occultism russia federation congresses new age movement russia federation congresses cults russia federation congresses sects russia federation congresses
143,BF712-724:Developmental psychology,imprints the lifelong effects of the birth experience childbirth psychological aspects prenatal influences psychology pathological
144,BF712-724:Developmental psychology,brothers 26 stories of love and rivalry brothers sibling rivalry
145,BF231-299:Sensation. Aesthesiology,lhe physiology of the senses or how and what we see hear taste feel and smell senses and sensation knowledge theory of
146,BF173-175:Psychoanalysis,basic freud psychoanalytic thought for the twenty first century freud sigmund 18561939 psychoanalysis
147,BF728-794:Psychology,to sell is human the surprising truth about moving others influence psychology persuasion psychology selling psychological aspects
148,BF712-724:Developmental psychology,gazefollowing its development and significance attention in infants interpersonal communication in infants social interaction in infants visual perception in infants
149,BF712-724:Developmental psychology,rules that babies look by the organization of newborn visual activity visual perception in children cognition in children infant psychology newborn infants
150,BF636-637:Applied psychology,strategic interpersonal communication interpersonal communication social interaction
151,BF712-724:Developmental psychology,follow me a handbook of movement activities for children play psychological aspects games child psychology perceptualmotor learning
152,BF712-724:Developmental psychology,family matters the importance of mattering to family in adolescence adolescent psychology teenagers family relationships teenagers conduct of life parent and teenager
153,BF712-724:Developmental psychology,infant social cognition empirical and theoretical considerations infant psychology social perception in children
154,BF309-499:Consciousness. Congition,dictionary of graphic images symbolism psychology dictionaries signs and symbols dictionaries
155,BF309-499:Consciousness. Congition,meaning and context an introduction to the psychology of language psycholinguistics
156,BF65-172:Psychology,the collected works of ls vygotsky psychology
157,BF698:Personality,to have or to be personality ontology
158,BF309-499:Consciousness. Congition,involuntary autobiographical memories an introduction to the unbidden past involuntary memory
159,BF511-593:Affection. Feeling. Emotion,feeling and imagination the vibrant flux of our existence emotions emotions and cognition affect psychology
160,BF38-64:Philosophy,modeling intraindividual variability with repeated measures data methods and applications psychometrics congresses
161,BF699-711:Genetic Psychology,the ontogeny of human bonding systems evolutionary origins neural bases and psychological manifestations genetic psychology attachment behavior
162,BF309-499:Consciousness. Congition,the social psychology of expertise case studies in research professional domains and expert roles expertise expertise social aspects
163,BF38-64:Philosophy,theories of meaningfulness psychology statistical methods social sciences statistical methods psychometrics
164,BF309-499:Consciousness. Congition,crosstrain your brain a mental fitness program for maximizing creativity and achieving success creative ability creative thinking
165,BF698:Personality,puer aeternus personality psychology pathological jung c g carl gustav 18751961 saintexupéry antoine de 19001944 petit prince english
166,BF712-724:Developmental psychology,schooled bodies negotiating adolescent validation through press peers and parents human body social aspects body image in adolescence educational sociology teenagers
167,BF511-593:Affection. Feeling. Emotion,stress management the essential guide to thinking and working smarter stress psychology stress management
168,BF176:Pyshological tests and testing,assessment procedures for counselors and helping professionals psychological tests educational tests and measurements counseling
169,BF65-172:Psychology,history of psychology a cultural perspective psychology history textbooks
170,BF231-299:Sensation. Aesthesiology,the unity of the senses interrelations among the modalities senses and sensation intersensory effects poetry psychological aspects music psychological aspects
171,BF1-37:Psychology,the encyclopedia of psychology new updated psychology dictionaries
172,BF1585-1623:Magic. Hermetics. Necromancy,the concepts of the divine in the greek magical papyri magic egyptian magic greek egypt religion greece religion
173,BF173-175:Psychoanalysis,stone by stone reflections on the psychology of cg jung jung c g carl gustav 18751961 jungian psychology
174,BF65-172:Psychology,research methods in psychology a handbook psychology research methodology psychometrics
175,BF38-64:Philosophy,critical psychology contributions to an historical science of the subject critical psychology
176,BF1892-2049:Occult sciences,the mayan factor path beyond technology maya chronology miscellanea indian chronology mexico miscellanea indian chronology central america miscellanea
177,BF1228-1389:Spiritualism,torchbearers of spiritualism spiritualism history
178,BF698:Personality,inside styles beyond the basics questions and answers on style typology psychology educational psychology style philosophy
179,BF1651-1729:Astrology,zhongguo gao ji ming li ao mi jie kai ming li di lu shan zhen mian mu astrology chinese
180,BF712-724:Developmental psychology,childhood adolescence a psychology of the growing person child development adolescent psychology
181,BF636-637:Applied psychology,the philosophy of positive life psychology applied
182,BF173-175:Psychoanalysis,autour du malaise dans la culture de freud freud sigmund 18561939 unbehagen in der kultur
183,BF698:Personality,the mmpi an interpretive manual minnesota multiphasic personality inventory
184,BF309-499:Consciousness. Congition,beginning with ourselves in practice theory and human affairs experiential learning success
185,BF692:Psychology of Sex. Sexual Behavior,psychosexual development in health and disease the proceedings of the thirtyeighth annual meeting of the american psychopathological association held in new york city june 1948 sex psychology congresses
186,BF173-175:Psychoanalysis,a godless jew freud atheism and the making of psychoanalysis freud sigmund 18561939 religion psychoanalysis and religion atheism
187,BF712-724:Developmental psychology,cognetics thinking skills in language arts and social sciences cognition in children study and teaching cognition study and teaching
188,BF501-505:Motivation,motivation and emotion motivation psychology emotions
189,BF636-637:Applied psychology,wanting more the challenge of enjoyment in the age of addiction quality of life
190,BF309-499:Consciousness. Congition,meaningfulness and verbal learning meaning psychology learning psychology of
191,BF636-637:Applied psychology,selfdirected behavior selfmodification for personal adjustment behavior modification success
192,BF1-37:Psychology,cluster analysis of person perception a grid approach to studentfaculty interaction selfperception testing brigham young university faculty brigham young university students
193,BF309-499:Consciousness. Congition,der geniebegriff des aufklärungszeitalters lessing und die popularphilosophen genius enlightenment lessing gotthold ephraim 17291781
194,BF1501-1561:Demonology. Satanism. Possession,empowered writing exorcistic and apotropaic rituals in medieval china talismans china history exorcism china history chinese language writing religious aspects history
196,BF511-593:Affection. Feeling. Emotion,living with fear understanding and coping with anxiety fear anxiety behavior therapy
197,BF1001-1045:Psychic research. Psychology of the conscious.,handbook of parapsychology parapsychology parapsychology research
198,BF1111-1156:Hypnotism. Suggestions. Mesmerism. Subliminal Projection,an illustrated lesson in hypnotism hypnotism
199,BF1111-1156:Hypnotism. Suggestions. Mesmerism. Subliminal Projection,how to give hypnotic exhibitions with history of hypnotism hypnotism
200,BF1111-1156:Hypnotism. Suggestions. Mesmerism. Subliminal Projection,complete illustrated course of twenty lessons in magnetic healing hypnosis
202,BF698:Personality,interpreting psychological test data personality assessment bendergestalt test drawaperson test wechsler adult intelligence scale rorschach test
203,BF1562-1584:Witchcraft,zhongguo gu dai she hui de wu xi witchcraft china history china social conditions
204,BF65-172:Psychology,la recherche en psychologie scientifique état actuel dans les pays industrialisés et les pays en développement psychology research psychology research developing countries
205,BF636-637:Applied psychology,create a powerful life plan 3 simple steps to your ideal life mormon women conduct of life success psychological aspects achievement motivation in women goal psychology
206,BF173-175:Psychoanalysis,fantasy myth and reality essays in honor of jacob a arlow fantasy subconsciousness identity psychology psychology pathological psychology religious arlow jacob a
207,BF712-724:Developmental psychology,race awareness in young children race awareness child psychology united states race relations
208,BF698:Personality,the counsellors guide to personality understanding preferences motives and life stories personality counseling personality assessment psychotherapy
209,BF231-299:Sensation. Aesthesiology,on seeing forms form perception visual perception
210,BF636-637:Applied psychology,evolution of emotional communication from sounds in nonhuman mammals to speech and music in man interpersonal communication animal communication language and emotions emotive linguistics affective neuroscience
211,BF698:Personality,personality traits personality
212,BF692:Psychology of Sex. Sexual Behavior,connections between sex and aggression sex psychology sex biology aggressiveness
213,BF309-499:Consciousness. Congition,psychological profiles of conjoined twins heredity environment and identity nature and nurture conjoined twins psychology conjoined twins case studies
214,BF1228-1389:Spiritualism,spiritualist thought spiritualism united states spirit writings
215,BF511-593:Affection. Feeling. Emotion,the measurement of affect mood and emotion a guide for healthbehavioral research affect psychology emotions emotions health aspects affect behavioral research health behavior
216,BF712-724:Developmental psychology,developmental processes heinz werners selected writings cognition in children psycholinguistics symbolism psychology children with mental disabilities braindamaged children
217,BF1228-1389:Spiritualism,the movement spiritualism united states
218,BF1651-1729:Astrology,the beginnings of astrology in america astrology and the re emergence of cosmic religion astrology american cults united states occultism religious aspects
219,BF1585-1623:Magic. Hermetics. Necromancy,rosicrucianism in america rosicrucians rosicrucians united states
220,BF636-637:Applied psychology,crossings everyday people unexpected events and lifeaffirming change life change events psychological aspects life change events psychological aspects case studies change psychology spiritual life
221,BF309-499:Consciousness. Congition,the evolution of mind cognition behavior evolution cognition and culture psychology comparative genetic psychology
222,BF511-593:Affection. Feeling. Emotion,leavetaking when and how to say goodbye separation psychology
223,BF173-175:Psychoanalysis,century of insight the twentieth century enlightenment of the mind psychoanalysis subconsciousness
224,BF1651-1729:Astrology,the key to astrology containing a complete system of genethliacal astrology astrology
225,BF660-685:Comparative psychology. Animal and human psychology,animal models of human psychology critique of science ethics and policy psychology comparative human behavior animal models animal experimentation moral and ethical aspects animal psychology
227,BF309-499:Consciousness. Congition,action perception and the brain adaptation and cephalic expression social perception philosophy neurosciences philosophy
228,BF712-724:Developmental psychology,alone in the mirror twins in therapy twins psychology sibling attachment therapist and patient attachment behavior
229,BF309-499:Consciousness. Congition,the brain big bangs behaviors and beliefs cognition neurophysiology brain evolution
230,BF511-593:Affection. Feeling. Emotion,the courage quotient how science can make you braver courage fear
231,BF65-172:Psychology,toward a psychology of persons psychology
232,BF511-593:Affection. Feeling. Emotion,the education of feeling and emotion emotions study and teaching
233,BF1001-1045:Psychic research. Psychology of the conscious.,fringeology how i tried to explain away the unexplainableand couldnt parapsychology supernatural
234,BF1892-2049:Occult sciences,the canon an exposition of the pagan mystery perpetuated in the cabala as the rule of all the arts cabala symbolism
235,BF231-299:Sensation. Aesthesiology,face perception face perception facial expression
236,BF309-499:Consciousness. Congition,the intelligence paradox why the intelligent choice isnt always the smart one intellect evolutionary psychology
237,BF712-724:Developmental psychology,the development of sensory motor and cognitive capacities in early infancy from perception to cognition cognition in infants motor ability in infants perception in infants infant psychology developmental psychology
238,BF636-637:Applied psychology,persuasion new directions in theory and research persuasion psychology
239,BF511-593:Affection. Feeling. Emotion,the passionate muse exploring emotion in stories emotions psychology and literature literature psychology
240,BF309-499:Consciousness. Congition,vigilance methods models and regulation proceedings of a workshop held at the institute for occupational medicine of the university of düsseldorf federal republic of germany on 1719 october 1986 organized with the concerted action on breakdown in human adaptation performance decrement vigilance psychology congresses psychophysiology congresses chronobiology congresses
241,BF309-499:Consciousness. Congition,attentional selection topdown bottomup and historybased biases attention visual discrimination
242,BF173-175:Psychoanalysis,the clinical erik erikson a psychoanalytic method of engagement and activation psychoanalysis developmental psychology erikson erik h erik homburger 19021994
243,BF511-593:Affection. Feeling. Emotion,death emotion and childhood in premodern europe children death history to 1500 children europe history to 1500 death europe history to 1500 emotions philosophy history europe social life and customs to 1500
244,BF511-593:Affection. Feeling. Emotion,thinking in the shadow of feelings a new understanding of the hidden forces that shape individuals and societies fear emotions critical thinking fear social aspects critical thinking social aspects psychotherapy
245,BF636-637:Applied psychology,counseling through group process group counseling
246,BF309-499:Consciousness. Congition,biofeedback a survey of the literature biofeedback training bibliography
247,BF1892-2049:Occult sciences,imaginary landscape cosmology miscellanea consciousness miscellanea
248,BF65-172:Psychology,rethinking psychology good science bad science pseudoscience psychology psychology research methodology
249,BF65-172:Psychology,die rezeption der psychoanalyse in der soziologie psychologie und theologie im deutschsprachigen raum bis 1940 psychoanalysis germany history psychoanalysis switzerland history psychoanalysis austria history sociology psychology theology
250,BF1404-1443:Occult sciences,the iranian metaphysicals explorations in science islam and the uncanny islamic occultism metaphysics uncanny the psychoanalysis mysticism islam islam and science iran
251,BF1501-1561:Demonology. Satanism. Possession,a celebration of demons exorcism and the aesthetics of healing in sri lanka exorcism sri lanka demonology sri lanka
252,BF712-724:Developmental psychology,handbook of moral development moral development
253,BF173-175:Psychoanalysis,the mentalization guidebook psychoanalysis
254,BF309-499:Consciousness. Congition,the possibilities of creativity creative ability social aspects creative thinking
255,BF173-175:Psychoanalysis,the oxford handbook of philosophy and psychoanalysis psychoanalysis and philosophy
256,BF698:Personality,the sage handbook of personality and individual differences personality individuality
257,BF1501-1561:Demonology. Satanism. Possession,demonality by ludovico maria sinistrari translated into english from the latin with introduction and notes by the rev montague summers demonology
258,BF692:Psychology of Sex. Sexual Behavior,masculinities and other hopeless causes at an allboys catholic school masculinity united states homophobia united states singlesex schools united states
259,BF309-499:Consciousness. Congition,affect cognition and stereotyping interactive processes in group perception emotions stereotypes social psychology intergroup relations prejudices cognition
260,BF309-499:Consciousness. Congition,a primer for forgetting getting past the past memory psychology
262,BF712-724:Developmental psychology,recent advances in cognitivedevelopmental theory progress in cognitive development research cognition in children
263,BF309-499:Consciousness. Congition,cognitive approaches to automated instruction learning psychology of congresses individualized instruction psychological aspects congresses cognitive psychology congresses
264,BF1444-1486:Ghosts. Apparitions. Hauntings,song dai min jian de you ming shi jie guan ghosts china ghost china folklore
265,BF636-637:Applied psychology,give take the complete guide to negotiating strategies and tactics negotiation
266,BF1585-1623:Magic. Hermetics. Necromancy,ancient egyptian magic magic egyptian
267,BF1501-1561:Demonology. Satanism. Possession,the case against possessions and exorcisms a historical biblical and psychological analysis of demons devils and demoniacs demonology demoniac possession exorcism
268,BF1001-1045:Psychic research. Psychology of the conscious.,paranormal encounters in iceland 11501400 parapsychology iceland history to 1500 parapsychology in literature
269,BF204-206:Psychology,humanistic psychology concepts and criticisms humanistic psychology
270,BF309-499:Consciousness. Congition,selfregulation theory how optimal adjustment maximizes gain problem solving
271,BF173-175:Psychoanalysis,the analyst and the mystic psychoanalytic reflections on religion and mysticism psychoanalysis and religion mysticism psychology mysticism hinduism ramakrishna 18361886 psychology gurus india psychology psychotherapy religious aspects hinduism psychology religious india freud sigmund 18561939
272,BF1501-1561:Demonology. Satanism. Possession,liber revelationum demonology early works to 1800 visions early works to 1800
273,BF712-724:Developmental psychology,should the children know encounters with death in the lives of children children and death
274,BF309-499:Consciousness. Congition,human cognitive abilities a survey of factoranalytic studies cognition psychology mathematical models factor analysis
276,BF173-175:Psychoanalysis,sublimation inquiries into theoretical psychoanalysis sublimation psychology psychoanalysis
277,BF309-499:Consciousness. Congition,decisions getting what you want decision making success
278,BF712-724:Developmental psychology,cains legacy liberating siblings from a lifetime of rage shame secrecy and regret brothers and sisters families
279,BF712-724:Developmental psychology,soviet developmental psychology an anthology child psychology child psychology soviet union
